ID,Name,License Number,Source,Last Updated,Contact Info,Type,Latitude,Longitude,Address,Closed,Open,Normal Hours,Are there special hours?,Accommodation hours,Are there EM hours?,EM hours,SNAP/EBT/WIC,Delivery?,Pickup Orders?,Delivery/ Pick Up Notes,Other Notes
14248,,,,,,,,,,,,,,,,,,,,,
3364,"# 1 BAY RIDGE HEALTH FOOD INC , BAYRIDGE HEALTH FOOD",734674,,,,A,40.618821,-74.032958,"9220 3RD AVENUE, BROOKLYN, NY 11209",,,,,,,,,,,,
13655,"# 1 CONVENIENCE STORE INC , # 1 CONVENIENCE STORE",729371,,,,A,40.575874,-74.127279,"3185 RICHMOND RD, STATEN ISLAND, NY 10306",,,,,,,,,,,,
2664,"#1 JUNIOR INC , #1 JUNIOR",670837,,,,JAC,40.677462,-73.913617,"203 THOMAS S BOYLAND ST, BROOKLYN, NY 11233",,,,,,,,,,,,
2667,"#1 SMOKE SHOP INC , #1 SMOKE SHOP",731595,,,,JAC,40.632319,-73.947130,"1574 FLATBUSH AVE, BROOKLYN, NY 11210",,,,,,,,,,,,
7791,"$1 DEPOT INC , $1 DEPOT",624105,,,,A,40.810859,-73.952801,"356 W 125TH ST, NEW YORK, NY 10027",,,,,,,,,,,,
2663,"1 FLATBUSH EXPRESS DELI INC , 1 FLATBUSH EXPRESS DELI",722547,,,,JAC,40.642765,-73.956574,"2191 CLARENDON ROAD, BROOKLYN, NY 11226",,,,,,,,,,,,
7794,"1 GAUDALUPE VICTORIA INC , 1 GAUDALUPE VICTORIA",628918,,,,JAC,40.851348,-73.932251,"1484 ST NICHOLAS AVE, NEW YORK, NY 10033",,,,,,,,,,,,
10489,"1 GOURMET DELI 65 CORP , 1 GOURMET DELI 65",728134,,,,JAC,,0.000000,"65 42 WOODSIDE AVE, WOODSIDE, NY 11377",,,,,,,,,,,,
104,"1 LALY DELI GROCERY CORP , 1 LALY DELI GROCERY",728163,,,,JAC,40.838495,-73.926049,"147 WEST 168TH STREET, BRONX, NY 10452",,,,,,,,,,,,
2665,"1 NY NEW DELI CORP , 1 NY NEW DELI",734973,,,,JAC,40.657099,-73.914159,"469 E 98TH ST, BROOKLYN, NY 11212",,,,,,,,,,,,
10490,"1 STOP DELI AND GROCERY 1 CORP , 1 STOP DELI AND GROCERY",725786,,,,JAC,,0.000000,"60 71 FLUSHING AVE, MASPETH, NY 11378",,,,,,,,,,,,
105,"1 WESTFIELD MARKET & DELI CORP , 1 WESTFIELD MARKET & DE",734648,,,,JAC,40.846251,-73.820932,"3202 AMPERE AVE, BRONX, NY 10465",,,,,,,,,,,,
10488,"1BOSSRK MINI MART INC , 1BOSSRK MINI MART",670393,,,,JAC,,0.000000,"95 13 JAMAICA AVENUE, WOODHAVEN, NY 11421",,,,,,,,,,,,
7795,"1ST & 96TH MANAGEMENT INC , 1ST & 96TH MANAGEMENT",629103,,,,A,40.782962,-73.944930,"1855 1ST AVE, NEW YORK, NY 10128",,,,,,,,,,,,
8277,"1ST AVE FRUIT & VEGETABLE INC , CAFE DELI-CIOUS",706370,,,,JAC,40.740500,-73.975946,"485 1ST AVE, NEW YORK, NY 10016",,,,,,,,,,,,
7796,"1ST AVE GOURMET DELI LLC , 1ST AVE GOURMET DELI",732019,,,,JAC,40.779556,-73.947399,"1741 FIRST AVENUE, NEW YORK, NY 10128",,,,,,,,,,,,
2668,"1ST GOURMET DELI INC , 1ST GOURMET DELI",613979,,,,JAC,40.689804,-73.977753,"118 DEKALB AVE, BROOKLYN, NY 11217",,,,,,,,,,,,
160,"2 & 5 LINE DELI GROCERY INC , 2 & 5 LINE DELI GROCERY",720851,,,,JAC,40.857549,-73.867637,"2196 WHITE PLAINS RD, BRONX, NY 10462",,,,,,,,,,,,
2716,"2 BROTHERS DELI 2 INC , 2BROTHERS DELI 2",729686,,,,JAC,40.642211,-73.957791,"2124 DORCHESTER ROAD, BROOKLYN, NY 11226",,,,,,,,,,,,
174,"2 BROTHERS FAMOUS DELI INC , 2 BROTHERS FAMOUS DELI",728931,,,,JAC,40.866344,-73.867371,"2739 WHITE PLAINS AVE, BRONX, NY 10467",,,,,,,,,,,,
2717,"2 DB 33 LLC , 2 DOUGH BOYZ",733390,,,,JAC,40.657133,-74.007565,"34 35TH ST, BROOKLYN, NY 11232",,,,,,,,,,,,
7839,"2 FIVE STAR CANDY & GROCERY INC , 2-5 STAR CANDY & GROCRY",628665,,,,A,40.844618,-73.937170,"1275 ST NICHOLAS AVE, NEW YORK, NY 10033",,,,,,,,,,,,
7353,"2 JIN & LING INC , TWIN 99 CENTS STORE",671390,,,,A,40.681588,-73.879478,"3132 FULTON ST, BROOKLYN, NY 11208",,,,,,,,,,,,
10512,"2 KINGS DELI GROCERY CORP , 2 KINGS DELI & GROCERY",734703,,,,A,,0.000000,"27 19 24TH AVE, ASTORIA, NY 11102",,,,,,,,,,,,
7848,"2ND AVE CNDY CNVNIENCE STORE INC , 2ND AVE CNDY CNVNIENCE",716082,,,,A,40.799910,-73.935653,"2351 2ND AVE, NEW YORK, NY 10035",,,,,,,,,,,,
7850,"2ND AVE FRESH FOOD CORNER INC , 2ND AVE FRESH FOOD CORN",722037,,,,JAC,40.766754,-73.959856,"1310 SECOND AVE, NEW YORK, NY 10065",,,,,,,,,,,,
7851,"2ND AVENUE DELI GROCERY CORP , 2ND AVENUE DELI GROCERY",732949,,,,JAC,40.800645,-73.935110,"2371 2ND AVE, NEW YORK, NY 10035",,,,,,,,,,,,
2740,"3 BROS DELI & GROCERY NY CORP , 3 BROS DELI & GROCERY",716610,,,,JAC,40.614142,-73.981126,"6409 BAY PARKWAY, BROOKLYN, NY 11204",,,,,,,,,,,,
